iter	RMSE
160	5.386250327
161	5.383373744
162	5.381572993
163	5.378399025
164	5.375491627
165	5.371372097
166	5.369789616
167	5.366590829
168	5.363661505
169	5.360452471
170	5.357938904
171	5.355440282
172	5.352723709
173	5.349635551
174	5.346071494
175	5.343661592
176	5.341055668
177	5.337526493
178	5.334430422
179	5.332284412
180	5.329672687
181	5.327734926
182	5.325735823
183	5.321045241
184	5.317772587
185	5.315837327
186	5.313818525
187	5.311190812
188	5.308810948
189	5.30623679
190	5.30392406
191	5.301683467
192	5.299109338
193	5.296109307
194	5.293707684
195	5.291278511
196	5.289235096
197	5.28693906
198	5.283554279
199	5.280944809
200	5.278070734
201	5.276427837
202	5.273712614
203	5.270815986
204	5.268844081
205	5.266219814
206	5.264572194
207	5.262928898
208	5.26143932
209	5.258875885
210	5.255208394
211	5.253285644
212	5.250898843
213	5.248342372
214	5.24543719
215	5.243737563
216	5.24149872
217	5.239361984
218	5.236924301
219	5.235344904
220	5.232631738
221	5.230601331
222	5.229130298
223	5.225837872
224	5.22388711
225	5.221841429
226	5.220268624
227	5.218061541
228	5.216637002
229	5.213665009
230	5.211964984
231	5.210607926
232	5.208869249
233	5.207289553
234	5.205249806
235	5.202301267
236	5.200600194
237	5.197983221
238	5.195756718
239	5.194503103
240	5.192743067
241	5.190563905
242	5.187689098
243	5.184840116
244	5.182215662
245	5.180674202
246	5.178036293
247	5.176015664
248	5.172951984
249	5.171065715
250	5.169163407
251	5.167431003
252	5.165651939
253	5.163199595
254	5.16094356
255	5.158309139
256	5.155204176
257	5.153530657
258	5.152008126
259	5.149834827
260	5.148222567
261	5.146809974
262	5.144753191
263	5.14273666
264	5.140544317
265	5.138584339
266	5.137290138
267	5.136315294
268	5.133127683
269	5.131072712
270	5.12858762
271	5.127436358
272	5.125304589
273	5.123159809
274	5.119391636
275	5.117585931
276	5.115705184
277	5.114640158
278	5.112644074
279	5.111177693
280	5.108146244
281	5.105224831
282	5.103711073
283	5.100476808
284	5.099071727
285	5.097401506
286	5.095245203
287	5.093700113
288	5.091671871
289	5.089909493
290	5.086972173
291	5.084549094
292	5.082366376
293	5.081775311
294	5.079971997
295	5.078521381
296	5.076916485
297	5.075279699
298	5.073832529
299	5.071353282
300	5.068346886
301	5.065010001
302	5.06215589
303	5.060476136
304	5.059196105
305	5.058161481
306	5.055798768
307	5.053762091
308	5.051111535
309	5.048834643
310	5.047400648
311	5.046217939
312	5.044245805
313	5.04220395
314	5.040710471
315	5.039635022
316	5.03727118
317	5.035031988
318	5.033189675
319	5.031342943
320	5.030287513
321	5.02853142
322	5.026247808
323	5.02385247
324	5.021999632
325	5.020148816
326	5.017921784
327	5.016669854
328	5.01538036
329	5.012843321
330	5.011595484
331	5.009840464
332	5.008142531
333	5.006863545
334	5.005161048
335	5.003592345
336	5.000338424
337	4.999315372
338	4.997141747
339	4.994876607
340	4.993536532
341	4.992452103
342	4.990819326
343	4.989373141
344	4.988355709
345	4.987073231
346	4.98604345
347	4.984877197
348	4.982951933
349	4.98167775
350	4.980970614
351	4.98038039
352	4.979199542
353	4.977442078
354	4.974855867
355	4.973726674
356	4.972025445
357	4.970904521
358	4.969925105
359	4.96877765
360	4.967518684
361	4.966482948
362	4.965387765
363	4.96442002
364	4.963625042
365	4.962402292
366	4.961613802
367	4.960535669
368	4.959533364
369	4.957962425
370	4.956667459
371	4.953814585
372	4.952775563
373	4.95075444
374	4.949712648
375	4.948874342
376	4.947292145
377	4.94606586
378	4.945158667
379	4.943570197
380	4.942059744
381	4.941380939
382	4.940685093
383	4.939046957
384	4.937271448
385	4.936340293
386	4.934658134
387	4.933111659
388	4.932077443
389	4.930581138
390	4.929093953
391	4.928200998
392	4.925680175
393	4.924149277
394	4.923255946
395	4.920656375
396	4.919624514
397	4.918181638
398	4.917314485
399	4.914777731
400	4.913345426
401	4.9124247
402	4.911064859
403	4.909627016
404	4.908367611
405	4.90447821
406	4.903890962
407	4.902748225
408	4.90164351
409	4.900275098
410	4.898761028
411	4.89765955
412	4.896602618
413	4.895901646
414	4.894653625
415	4.893385413
416	4.892734024
417	4.890466755
418	4.889702151
419	4.88766911
420	4.886658262
421	4.885304023
422	4.884313637
423	4.88347667
424	4.882475201
425	4.880580178
426	4.879368054
427	4.878414151
428	4.877238874
429	4.875839899
430	4.874500573
431	4.872788709
432	4.871439786
433	4.870856846
434	4.869739171
435	4.868522785
436	4.867250224
437	4.866416651
438	4.865244261
439	4.86443775
440	4.863213826
441	4.862462586
442	4.860875902
443	4.859429373
444	4.858305606
445	4.857369604
446	4.856243461
447	4.855551371
448	4.85475289
449	4.853623289
450	4.852827002
451	4.851587598
452	4.851060109
453	4.849504134
454	4.84844773
455	4.847723237
456	4.846156433
457	4.845412212
458	4.844653629
459	4.843552205
460	4.842559965
461	4.840865643
462	4.840182953
463	4.83774912
464	4.83685355
465	4.835812787
466	4.834915769
467	4.834281844
468	4.833468448
469	4.831868219
470	4.831081396
471	4.829860199
472	4.828927666
473	4.828016761
474	4.826898394
475	4.826345609
476	4.825482071
477	4.824593465
478	4.823880533
479	4.822847354
480	4.821121514
481	4.820213337
482	4.819117094
483	4.818573505
484	4.817213932
485	4.81496857
486	4.814281708
487	4.813460345
488	4.812491803
489	4.810965235
490	4.809880625
491	4.808762625
492	4.80761134
493	4.805390444
494	4.804527257
495	4.803964511
496	4.803372941
497	4.80220891
498	4.801571103
499	4.800019561
